PGC            HYPERLEDA_NAME                    COUNTERPART_NAME                 OBJECT_TYPE   RA          DEC         (m-M)       ERR_(m-M)    DL[Mpc]     ERR_LN(DL)  Kt          ERR_Kt      
16864          ESO422-041                        ESO422-041                       G             77.70       -31.60      30.07       1.55        10.3        0.715       11.73       0.56        
21375          NGC2427                           NGC2427                          G             114.12      -47.64      30.07       0.25        10.3        0.116       8.39        0.17        
32249          NGC3377                           NGC3377                          G             161.93      13.99       30.09       0.02        10.4        0.007       7.46        0.08        
36882          ESO440-011                        ESO440-011                       G             177.19      -28.29      30.10       1.84        10.5        0.846       9.68        0.73        
14409          NGC1507                           NGC1507                          G             61.11       -2.19       30.10       0.27        10.5        0.122       9.80        0.31        
16709          NGC1792                           NGC1792                          G             76.31       -37.98      30.10       0.26        10.5        0.119       7.50        0.96        
10266          NGC1068                           NGC1068                          G             40.67       -0.01       30.12       0.34        10.5        0.157       5.79        0.03        
29428          UGC05456                          UGC05456                         G             151.83      10.36       30.12       0.12        10.6        0.057       11.57       0.13        
10314          NGC1058                           NGC1058                          G             40.88       37.34       30.13       0.36        10.6        0.165       9.02        0.04        
41066          NGC4455                           NGC4455                          G             187.18      22.82       30.13       0.35        10.6        0.160       10.55       0.06        
23071          IC2233                            IC2233                           G             123.50      45.74       30.13       0.20        10.6        0.092       11.13       0.47        
60001          NGC6300                           NGC6300                          G             259.25      -62.82      30.15       0.09        10.7        0.039       6.94        0.04        
62351          NGC6673                           NGC6673                          G             281.28      -62.30      30.16       0.23        10.7        0.106       8.26        0.05        
70588          NGC7496                           NGC7496                          G             347.45      -43.43      30.16       1.18        10.8        0.543       8.78        0.17        
25167          ESO314-002                        ESO314-002                       G             134.37      -39.27      30.19       1.47        10.9        0.679       7.96        0.10        
39461          NGC4248                           NGC4248                          G             184.46      47.41       30.19       1.53        10.9        0.704       10.58       0.04        
62988          ESO141-042                        ESO141-042                       G             289.04      -62.36      30.19       1.49        10.9        0.686       10.71       0.13        
28381          NGC3037                           NGC3037                          G             147.85      -27.01      30.19       1.52        10.9        0.701       11.28       0.24        
40367          UGC07490                          UGC07490                         G             186.10      70.33       30.19       1.47        10.9        0.677       11.31       0.46        
32364          UGC05923                          UGC05923                         G             162.28      6.92        30.19       1.48        10.9        0.683       11.56       0.15        
93084          PGC093084                         PGC093084                        G             61.12       -2.17       30.19       1.52        10.9        0.700       11.62       0.24        
